file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,diagnostic_flags_LI-7500,,,,RSSI_LI-7500,variances,,,,,,covariances,,,custom_variables,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,air_t_mean,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--
2015-12-01T000000_AIU-1552.ghg,2015-12-01,00:30,335.020,0,18000,18000,3.3814600825390803E-004,1,0.59321061760417593,1,0.65605537119683421,1,-0.34742847655313747,1,1.4985517991642799E-002,1,-9999.0,-9999.0,-9999.0,-9999.0,-1.9987596781615963E-012,-1.8526538922123516E-013,16.693752224688804,416.41444744273110,429.13774500762923,-0.59999999999999998,0,1547.3468557833228,38.597529020487848,40.147108194098216,-0.50000000000000000,0,301.66502434624567,302.96057666666667,100977.43002777777,1.1442227893680983,1027.5595558421214,2.4944328982365357E-002,9.7106156585845336E-004,2.7883190818962005E-002,3898.5247434716694,4185.3194327723113,2.4368672847672097E-002,93.147603333333336,286.79468930064195,301.69770508918583,-2.9192153221179885E-002,-0.11736979744724794,-3.2096121064725744E-003,0.12098823402451746,5.0796714835975462E-015,-1.1973100182986906E-016,0.12098823402451746,0.48697666744243023,193.96716927319596,256.03283072680404,-1.5201379334487350,-9999.0,1.7190829614168332E-002,1.0476539573944574E-002,-0.75635257299805292,-5.2885388941623885,0.90420815627496298,2.9349079465546823E-002,1,6.9062350601203573,3.0000000000000000,5.0000000000000000,9.0000000000000000,13.000000000000000,21.000000000000000,45.000000000000000,3.1202487275201675E-004,1.0837149143640583,0.59637077170903996,1.0617392037108528,0.46477035495654634,1.1143456359347219,-0.34232714925893937,1.1143456359347219,1.0616214456834165E-002,1.1143456359347219,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,16,8,0,9,0,8,0,0,0,0,100,9.6384844125701058E-003,1.1227290869978418E-002,8.7303865340625261E-005,3.0296998579053568E-002,0.25248196826493796,61.126152989063549,5.0722278553565800E-004,-3.4232714925893937E-004,1.0616214456834165E-002,299.45279165479877,0.0000000000000000,411.56297253587599,29.303118130260003,23.800313699669292,98.548658555348709
2015-12-01T003000_AIU-1552.ghg,2015-12-01,01:00,335.041,0,18000,18000,6.3965623234871140E-004,1,0.30711019194617917,1,0.38950798136367731,1,0.37961558551828256,1,8.8966984684726545E-003,1,-0.11567867291884749,-0.66111584729597506,-0.34051227171179688,-1.5100456543994176E-002,2.4216521311303489E-012,2.2554769925454552E-013,16.543816545003644,412.59296912950208,424.95282838451976,-0.50000000000000000,0,1540.8570498823672,38.428060628313212,39.963791636248231,-0.10000000000000001,0,301.37956443956165,302.91631000000001,100982.60283333334,1.1445230480216326,1027.4588762500637,2.4939406696582855E-002,5.7650606075702795E-004,2.7766244514623048E-002,3881.6065047229745,4174.6857238086659,2.4260100801480965E-002,92.979609999999994,293.07921908569142,301.62282438176646,-6.9796467428974121E-002,-0.13112965751559336,-4.3232540667603831E-003,0.14861098368372863,-2.2530122889929397E-015,1.4637808177712812E-016,0.14861098368372863,0.62468818722781305,208.02506222854129,241.97493777145874,-1.6670313140067412,-9999.0,2.3640738900253744E-002,1.5225075685275404E-002,-3.7995588759011167,-1.0527537881753040,0.78845673680672368,1.1046995874618423E-002,1,10.629062741473911,5.0000000000000000,8.0000000000000000,14.000000000000000,21.000000000000000,34.000000000000000,78.000000000000000,5.9672936165563865E-004,1.0719369172215210,0.31395291056554875,1.0537158176789512,0.28636773082116962,1.1047894050742408,0.32737545276085189,1.1047894050742408,6.5408861284357543E-003,1.1047894050742408,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,5,1,0,6,1,6,0,0,0,0,100,9.0901996287271764E-003,2.1272693250591980E-002,8.7258491231652181E-005,2.4256583493373975E-002,3.4530992002888047E-002,72.430817977970264,2.6697802898248022E-004,3.2737545276085190E-004,6.5408861284357543E-003,299.10743656582304,0.0000000000000000,407.37535118103040,28.717519314712952,23.465949458916992,98.594086330413830
2015-12-01T010000_AIU-1552.ghg,2015-12-01,01:30,335.062,0,18000,18000,1.5046368772421209E-003,1,2.0299833666396365,1,2.1960957346361076,1,-0.97180166439273807,1,5.0160440623086673E-002,1,-1.5026004443748282E-002,-1.1538884951132240,-8.1226325560147708E-002,-2.6355661291050388E-002,-1.1489851761044372E-011,-1.0642559235071589E-012,16.508171502060371,411.68143772714933,424.06942707802403,0.0000000000000000,1,1529.0814601199775,38.132294289864532,39.644011399376296,0.0000000000000000,0,301.63087897406677,302.91056000000003,100986.22094444445,1.1447156775571670,1027.2840644347614,2.4938039786887828E-002,3.2503965523760160E-003,2.7554048383469046E-002,3851.8692423468592,4173.3061879998049,2.4070648217441749E-002,92.297786666666667,321.43694565294572,301.49051354344147,4.4471705460308687E-002,-6.5543016829981302E-002,4.8752668578237886E-004,7.9207684753385563E-002,9.5887829942883361E-015,-6.9600995843848203E-016,7.9207684753385563E-002,0.67969938245078498,145.84264774126461,304.15735225873539,0.35266019904813234,-9999.0,3.6254927040822726E-002,2.8456362256576780E-002,-2.0731913703100813,-1.9293925574278903,0.92436014269478295,4.7614284422849096E-002,1,1.5602021493027207,1.0000000000000000,1.0000000000000000,2.0000000000000000,3.0000000000000000,5.0000000000000000,12.000000000000000,1.3521771255166383E-003,1.1127513170045906,2.0000085915019326,1.0817472851027241,1.5201949723232968,1.1385537881071712,-0.95431052853606102,1.1385537881071712,3.4722370451383273E-002,1.1385537881071712,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,18,17,0,8,1,25,0,0,0,0,100,2.2885158334605912E-002,3.3874007971775151E-002,1.5355820677249749E-004,5.9516770798990551E-002,0.13287926251676205,177.64883949505386,1.7007625301476391E-003,-9.5431052853606104E-004,3.4722370451383273E-002,299.28858343505857,0.0000000000000000,406.72854819827592,28.860855752944953,23.548552381250587,98.584635167439785
2015-12-01T013000_AIU-1552.ghg,2015-12-01,02:00,335.083,0,18000,18000,5.4136597666138710E-004,1,1.1973604678252088,1,1.3077930057499088,1,-0.23425374276742167,1,2.9872058388100753E-002,1,9.9076747243539459E-002,0.94737000458655918,0.65354793432853731,2.1639427621741546E-002,2.6422092263483471E-012,2.4198355758580170E-013,16.798747931991475,419.01719395128248,431.76437517077869,0.40000000000000002,0,1538.4931469596256,38.375186291391493,39.906609879786174,0.0000000000000000,1,301.61347721523714,302.94848000000002,100977.32633333333,1.1443649312926025,1027.4279701701128,2.4943358615037475E-002,1.9357093835489286E-003,2.7723646983225381E-002,3876.0631433378057,4182.4112438177690,2.4226229085778168E-002,92.675323333333338,306.34810047996325,301.59822735119053,-2.2603063031519315E-002,-2.8697952635006466E-002,-1.0322905648039734E-004,3.6530557073303646E-002,3.5763685473308470E-015,1.5728608090585926E-016,3.6530557073303646E-002,0.54232860990086995,218.22465283006682,231.77534716993321,-0.16190821068603403,-9999.0,2.1750197696501862E-002,6.5828930839941192E-003,-0.75890693901800865,-5.2707384718023791,0.91555809104409747,4.6821549440042409E-002,1,0.73261698865529190,1.0000000000000000,1.0000000000000000,1.0000000000000000,2.0000000000000000,3.0000000000000000,10.000000000000000,4.5775089890179798E-004,1.1826650214345666,1.1284914810222155,1.1309877785002884,0.85875766569170608,1.2007804087564933,-0.25253820924653342,1.2007804087564933,1.9615381805824849E-002,1.2007804087564933,800000099,800000099,800000099,800000099,800000099,801000099,899999999,899999999,89999,89999,89,89,20,9,0,0,0,7,0,0,0,0,100,8.0241544490469319E-003,5.0457533871631688E-003,9.5878331778137833E-005,3.7976727079742062E-002,3.9167186969288240E-002,43.888497678991421,9.5980356756854019E-004,-2.5253820924653342E-004,1.9615381805824849E-002,299.33553436957465,0.0000000000000000,413.98652760654005,29.169324412557835,23.724385436905745,98.594244144863552
2015-12-01T020000_AIU-1552.ghg,2015-12-01,02:30,335.104,0,18000,18000,5.6795697471393738E-004,1,1.2432254279517787,1,2.2904519750952201,1,0.22028720745055369,1,5.2316338655824295E-002,1,-6.1575348588285547E-002,0.59470895357133113,-3.8151266632984231E-002,1.3583779688458735E-002,-3.1103557991567101E-012,-2.8628299349705321E-013,16.776552941510637,418.58883644161062,431.41532994416713,0.20000000000000001,0,1544.1454633452615,38.527703220783522,40.071568728340246,0.59999999999999998,0,301.81717666117351,302.92490666666669,100939.25450000001,1.1439555386454934,1027.5175545144778,2.4950824993725973E-002,3.3900987448974140E-003,2.7825501726239703E-002,3890.0008124222554,4176.7489693388270,2.4323936364857881E-002,93.134656666666672,286.74815691657159,301.66001338096061,-1.9340338822753631E-002,-2.6970593402425531E-002,-2.4774720476197228E-004,3.3189199944192414E-002,-2.5407981702810190E-017,-1.8539897975469562E-016,3.3189199944192414E-002,0.44650379100957166,215.64392320016100,234.35607679983900,-0.42769940441826160,-9999.0,2.2281947464150315E-002,7.1432204895198427E-003,-0.78564957738488717,-5.0913283926332626,0.54278607081473274,4.7467716809465259E-002,1,0.58810767126024088,1.0000000000000000,1.0000000000000000,1.0000000000000000,2.0000000000000000,3.0000000000000000,-9999.0,4.7616499669470724E-004,1.1927734685590139,1.2130833648669819,1.1381952909116448,1.6245569058881886,1.2102671117987125,0.11551837246463628,1.2102671117987125,3.7106593012312013E-002,1.2102671117987125,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,33,28,0,0,14,13,0,0,0,0,100,7.7229639912121699E-003,6.4611924129410712E-003,1.0228457488644354E-004,3.6059687303070534E-002,3.9778709184521074E-002,77.129721348134893,1.0320298328884978E-003,1.1551837246463628E-004,3.7106593012312013E-002,299.49154904852975,0.0000000000000000,413.81630317942245,29.392134241316050,23.844459290981291,98.578574608696826
2015-12-01T023000_AIU-1552.ghg,2015-12-01,03:00,335.124,0,18000,18000,6.0068954433130579E-004,1,1.2086745650994020,1,1.8316263617890827,1,-2.2648171902428078E-002,1,4.1836320750755294E-002,1,2.7500548859188644E-003,0.47255904601179638,0.13367614852328066,1.0793758069363840E-002,7.3378209672397333E-013,6.7509053254585225E-014,16.828199871593061,420.09049651310494,432.96385125063017,0.0000000000000000,1,1548.2196232126526,38.648955633373120,40.202749931827931,0.0000000000000000,0,301.85070258246532,302.92596000000003,100888.41933333334,1.1433222446515789,1027.5888759555628,2.4963483897183864E-002,2.7109935846489431E-003,2.7898918088307991E-002,3900.2779704538430,4177.0018358797761,2.4401622743559958E-002,93.375060000000005,276.72386542593313,301.70544871586799,-1.4255293502221085E-002,-7.2616846898714574E-002,-7.1734343726796734E-004,7.4006313433058260E-002,1.0989967425041653E-015,4.3604313136465559E-017,7.4006313433058260E-002,0.53457756350655505,191.10640818581834,258.89359181418172,-0.55537687443456174,-9999.0,2.2921377284658592E-002,1.2027949649051347E-002,-0.87939867181460796,-4.5485627033597194,0.65989144419105306,4.4882870635100269E-002,1,2.3719452433248742,1.0000000000000000,2.0000000000000000,3.0000000000000000,5.0000000000000000,8.0000000000000000,18.000000000000000,5.3727895288874965E-004,1.1180217298697834,1.2158839168142241,1.0854107388187957,1.3390743830269363,1.1430469520490314,-8.5191047930852248E-002,1.1430469520490314,3.0585902543307990E-002,1.1430469520490314,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,20,16,1,0,14,17,0,0,0,0,100,1.4662659673639571E-002,9.2615470139904219E-003,1.3169261047270308E-004,6.4131054291661313E-002,5.2032858178579472E-002,89.874029596608423,1.0349135338004643E-003,-8.5191047930852244E-005,3.0585902543307990E-002,299.58618269517689,0.0000000000000000,415.42948722415485,29.403178637716515,23.842189136346185,98.511660717631287
2015-12-01T030000_AIU-1552.ghg,2015-12-01,03:30,335.145,0,18000,18000,4.6730265131910678E-004,1,1.2587802954179073,1,1.9850877390277828,1,-9.8303755220259012E-002,1,4.5340572783186282E-002,1,-5.7315955167075154E-002,0.62526421566045320,-5.3798106753359665E-002,1.4281402842556110E-002,3.8929508185176694E-012,3.6016282148554416E-013,16.798355103863599,419.48594937822224,432.28099682630619,0.0000000000000000,0,1554.1277690292877,38.809440484822538,40.376427026497154,0.0000000000000000,1,301.67829128519691,302.90400000000005,100847.32141666667,1.1428689689803471,1027.6832339431321,2.4971846754313524E-002,2.9380691163504711E-003,2.8005382877747918E-002,3914.8779615354260,4171.7328016530446,2.4504456449398533E-002,93.842969999999994,256.85484011761855,301.76981609458437,-3.4538429883341326E-002,-5.1997221035422515E-002,-1.2271074867743210E-003,6.2434925538489602E-002,3.3777263443143083E-015,2.3174595336553494E-016,6.2434925538489602E-002,0.57706342267277921,213.59354664123822,236.40645335876178,-1.1261742798132390,-9999.0,2.0220919583794586E-002,9.7800818110532692E-003,-0.57957896864906022,-6.9015616790298555,0.63411821587009942,5.3002129836172009E-002,1,1.9174014377620510,1.0000000000000000,1.0000000000000000,2.0000000000000000,4.0000000000000000,6.0000000000000000,13.000000000000000,4.1282612773874323E-004,1.1319599703603038,1.2590920166236068,1.0951431420497360,1.4434326155056132,1.1550810747380942,-0.15303165466544982,1.1550810747380942,3.2968850834276003E-002,1.1550810747380942,800000099,800000099,800000099,800000099,800000099,801000099,899999999,899999999,89999,89999,89,89,19,5,0,0,4,6,0,0,0,0,100,1.2374412479658177E-002,7.0913405082843883E-003,9.4410634163972934E-005,5.3903316564469644E-002,4.7248227846584993E-002,73.536163548419424,1.0720172111249803E-003,-1.5303165466544981E-004,3.2968850834276003E-002,299.38646301778158,0.0000000000000000,414.58550654347755,29.253186320198918,23.750441995090910,98.484800914340553
2015-12-01T033000_AIU-1552.ghg,2015-12-01,04:00,335.166,0,18000,18000,2.5100787614993887E-004,1,1.1986930948414070,1,1.3836934743520561,1,-0.25477893167061932,1,3.1603694941393798E-002,1,-5.7447445210285025E-002,0.14916314282573417,-0.29247550582998905,3.4069008416560877E-003,5.4702186632938928E-012,5.1058735438407939E-013,16.661829098913422,416.19834396560896,428.83067307494093,0.0000000000000000,1,1555.2064300280074,38.847736155482139,40.417879265138367,0.50000000000000000,0,301.57840398830837,302.88198333333338,100810.50455555556,1.1425179901407609,1027.7053537017773,2.4979150938041414E-002,2.0479194322023178E-003,2.8024820349277880E-002,3917.3103779317607,4166.4559733439146,2.4528996997084621E-002,94.020203333333328,249.14559541215385,301.78051960265407,-1.9251351860408397E-002,-4.4680150547560374E-002,-1.0763121911563818E-003,4.8663013155154845E-002,2.5659585401355372E-015,3.2830841264904254E-016,4.8663013155154845E-002,0.37460387061939515,203.30977698012902,246.69022301987098,-1.2673521637478020,-9999.0,1.4822182316971414E-002,4.4720908344663699E-003,-0.23965033268603964,-16.690984548894026,0.86629959384806698,6.8875408313408465E-002,1,1.5270045182685175,1.0000000000000000,1.0000000000000000,2.0000000000000000,3.0000000000000000,4.0000000000000000,9.0000000000000000,2.1745711103410026E-004,1.1542868152542383,1.1544549658673391,1.1108511577870765,0.93667166352732667,1.1748241556177175,-0.27586650362162823,1.1748241556177175,2.1393672849564740E-002,1.1748241556177175,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,10,8,0,1,0,3,0,0,0,0,100,4.7675768987621905E-003,4.1071323182332265E-003,6.9472451937323273E-005,4.7630564976133084E-002,5.5740088837418204E-002,55.612746886361087,9.8320783349206578E-004,-2.7586650362162822E-004,2.1393672849564740E-002,299.21619238111708,0.0000000000000000,411.13121385362467,29.098930014663274,23.656692702346373,98.447810200585266
2015-12-01T040000_AIU-1552.ghg,2015-12-01,04:30,335.187,0,18000,18000,2.3474447134806172E-003,1,2.3907678403389783,1,2.3541176795243439,1,1.8875476218218106,2,5.3767513781995825E-002,1,-3.8075601047095384E-002,0.18034021237003639,-0.16386128101843447,4.1189295413699032E-003,2.6132945163833009E-011,2.4529993923492246E-012,16.586916093455432,414.35631196506387,427.03776047985235,0.0000000000000000,1,1556.9502343924080,38.894038735176608,40.468002803761337,0.0000000000000000,1,301.68807617272273,302.86739000000000,100798.53588888889,1.1424170893950816,1027.7324938564420,2.4980913246950898E-002,3.4841348930733291E-003,2.8056243704462785E-002,3921.5137817842669,4162.9615261020435,2.4558669477991419E-002,94.200096666666667,241.44774431777660,301.79900243741452,5.0356199334231728E-003,-2.2540311605559117E-002,3.3328347600424394E-003,2.3335185941561074E-002,5.2712956466369095E-015,1.5755156061918032E-015,2.3335185941561074E-002,0.58159849749929138,167.40662548490809,282.59337451509191,8.2113172942028161,-9999.0,4.5329960516928329E-002,7.3016351135543967E-003,-3.4366486902047297,-1.1639246139417614,1.0155685338644751,4.4920779671844692E-002,1,6.7741217559307426E-002,1.0000000000000000,2.0000000000000000,-9999.0,-9999.0,-9999.0,-9999.0,1.9046413383096272E-003,1.2324864877520609,2.1705969878711415,1.1665802004014156,1.4447964650099097,1.2487746889882538,1.4043736670745000,1.2487746889882538,3.2998823516883512E-002,1.2487746889882538,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,30,28,0,1,3,0,0,0,0,0,100,1.0348680478145193E-002,3.9106370573867661E-003,3.4395269157683455E-004,3.7412711596332325E-002,7.3798003594030048E-002,76.894684466970503,1.8487339518294006E-003,1.4043736670745000E-003,3.2998823516883512E-002,299.34301345486108,0.0000000000000000,409.50531990983774,29.348664051797670,23.796562779426580,98.494876274532729
